     22     8     1   1.98e-13  2.09e-13  2.24e-13  2.81e-13  4.57e-13  7.84e-13  1.25e-12  1.70e-12  2.12e-12  2.48e-12  3.08e-12
     23     8     2   9.69e-13  9.78e-13  1.01e-12  1.15e-12  1.54e-12  2.13e-12  2.78e-12  3.31e-12  3.77e-12  4.19e-12  5.05e-12
     24     8     3   2.65e-12  2.81e-12  3.00e-12  3.53e-12  4.83e-12  6.90e-12  9.49e-12  1.18e-11  1.38e-11  1.56e-11  1.84e-11
     25     8     4   1.13e-11  1.12e-11  1.11e-11  1.12e-11  1.18e-11  1.28e-11  1.40e-11  1.52e-11  1.64e-11  1.78e-11  2.04e-11
     26     8     5   1.52e-11  1.69e-11  1.81e-11  2.01e-11  2.30e-11  2.69e-11  3.12e-11  3.48e-11  3.76e-11  4.00e-11  4.38e-11
     27     8     6   9.17e-11  9.37e-11  9.25e-11  8.70e-11  8.07e-11  7.79e-11  7.81e-11  7.99e-11  8.23e-11  8.50e-11  9.04e-11
     28     8     7   3.49e-11  4.90e-11  5.64e-11  6.23e-11  6.37e-11  6.58e-11  6.87e-11  7.14e-11  7.37e-11  7.58e-11  7.93e-11
     29     9     1   8.05e-14  8.34e-14  8.76e-14  1.07e-13  1.72e-13  2.91e-13  4.54e-13  6.04e-13  7.34e-13  8.47e-13  1.04e-12
     30     9     2   4.60e-13  4.77e-13  5.01e-13  6.06e-13  9.37e-13  1.57e-12  2.50e-12  3.45e-12  4.33e-12  5.13e-12  6.49e-12
     31     9     3   1.48e-12  1.48e-12  1.50e-12  1.64e-12  2.07e-12  2.73e-12  3.49e-12  4.16e-12  4.76e-12  5.34e-12  6.51e-12
     32     9     4   3.99e-12  4.11e-12  4.27e-12  4.82e-12  6.22e-12  8.42e-12  1.11e-11  1.36e-11  1.57e-11  1.76e-11  2.06e-11
     33     9     5   1.34e-11  1.34e-11  1.33e-11  1.31e-11  1.34e-11  1.42e-11  1.52e-11  1.63e-11  1.76e-11  1.90e-11  2.19e-11
     34     9     6   2.04e-11  2.15e-11  2.24e-11  2.42e-11  2.68e-11  3.04e-11  3.44e-11  3.76e-11  4.02e-11  4.24e-11  4.60e-11
     35     9     7   9.26e-11  9.66e-11  9.61e-11  9.09e-11  8.39e-11  8.05e-11  8.02e-11  8.18e-11  8.41e-11  8.67e-11  9.21e-11
     36     9     8   4.16e-11  5.18e-11  5.84e-11  6.48e-11  6.65e-11  6.82e-11  7.08e-11  7.32e-11  7.52e-11  7.71e-11  8.04e-11
     37    10     1   4.57e-14  4.80e-14  5.07e-14  6.33e-14  1.09e-13  2.10e-13  3.83e-13  5.80e-13  7.77e-13  9.64e-13  1.29e-12
     38    10     2   1.81e-13  1.86e-13  1.93e-13  2.29e-13  3.51e-13  5.85e-13  9.25e-13  1.26e-12  1.58e-12  1.86e-12  2.35e-12
     39    10     3   7.45e-13  7.64e-13  7.91e-13  9.18e-13  1.33e-12  2.10e-12  3.24e-12  4.39e-12  5.49e-12  6.49e-12  8.24e-12
     40    10     4   2.00e-12  2.01e-12  2.02e-12  2.15e-12  2.59e-12  3.26e-12  4.04e-12  4.73e-12  5.39e-12  6.03e-12  7.44e-12
     41    10     5   5.51e-12  5.60e-12  5.72e-12  6.25e-12  7.71e-12  9.99e-12  1.28e-11  1.52e-11  1.74e-11  1.93e-11  2.24e-11
     42    10     6   1.49e-11  1.51e-11  1.50e-11  1.47e-11  1.48e-11  1.54e-11  1.62e-11  1.72e-11  1.85e-11  1.98e-11  2.27e-11
     43    10     7   2.56e-11  2.63e-11  2.69e-11  2.83e-11  3.06e-11  3.39e-11  3.75e-11  4.04e-11  4.29e-11  4.49e-11  4.82e-11
     44    10     8   9.04e-11  9.59e-11  9.64e-11  9.24e-11  8.57e-11  8.21e-11  8.16e-11  8.30e-11  8.53e-11  8.78e-11  9.31e-11
     45    10     9   4.92e-11  5.68e-11  6.20e-11  6.79e-11  6.95e-11  7.09e-11  7.31e-11  7.51e-11  7.70e-11  7.87e-11  8.18e-11
     46    11     1   1.54e-14  1.67e-14  1.78e-14  2.24e-14  3.98e-14  8.03e-14  1.53e-13  2.37e-13  3.24e-13  4.07e-13  5.52e-13
     47    11     2   1.02e-13  1.08e-13  1.14e-13  1.38e-13  2.27e-13  4.25e-13  7.71e-13  1.18e-12  1.60e-12  2.02e-12  2.79e-12
     48    11     3   2.80e-13  2.92e-13  3.01e-13  3.45e-13  4.96e-13  7.83e-13  1.20e-12  1.63e-12  2.03e-12  2.42e-12  3.12e-12
     49    11     4   1.06e-12  1.10e-12  1.13e-12  1.28e-12  1.76e-12  2.64e-12  3.90e-12  5.17e-12  6.37e-12  7.49e-12  9.49e-12
     50    11     5   2.43e-12  2.50e-12  2.53e-12  2.65e-12  3.09e-12  3.76e-12  4.52e-12  5.20e-12  5.86e-12  6.52e-12  8.04e-12
     51    11     6   6.92e-12  7.13e-12  7.25e-12  7.75e-12  9.25e-12  1.16e-11  1.44e-11  1.69e-11  1.91e-11  2.09e-11  2.41e-11
     52    11     7   1.53e-11  1.60e-11  1.61e-11  1.59e-11  1.59e-11  1.63e-11  1.70e-11  1.79e-11  1.91e-11  2.03e-11  2.32e-11
     53    11     8   2.95e-11  3.07e-11  3.12e-11  3.22e-11  3.43e-11  3.72e-11  4.05e-11  4.33e-11  4.55e-11  4.74e-11  5.05e-11
     54    11     9   8.40e-11  9.19e-11  9.39e-11  9.18e-11  8.60e-11  8.26e-11  8.21e-11  8.35e-11  8.58e-11  8.83e-11  9.36e-11
     55    11    10   5.53e-11  6.23e-11  6.65e-11  7.15e-11  7.28e-11  7.39e-11  7.56e-11  7.73e-11  7.89e-11  8.03e-11  8.30e-11
     56    12     1   9.24e-15  9.93e-15  1.06e-14  1.34e-14  2.44e-14  5.32e-14  1.12e-13  1.89e-13  2.78e-13  3.73e-13  5.66e-13
     57    12     2   3.67e-14  3.87e-14  4.08e-14  4.97e-14  8.41e-14  1.65e-13  3.15e-13  4.97e-13  6.95e-13  8.95e-13  1.29e-12
     58    12     3   1.69e-13  1.76e-13  1.83e-13  2.15e-13  3.32e-13  5.85e-13  1.02e-12  1.52e-12  2.05e-12  2.58e-12  3.61e-12
     59    12     4   4.08e-13  4.17e-13  4.27e-13  4.76e-13  6.51e-13  9.75e-13  1.44e-12  1.90e-12  2.34e-12  2.77e-12  3.61e-12
     60    12     5   1.47e-12  1.50e-12  1.53e-12  1.69e-12  2.23e-12  3.20e-12  4.55e-12  5.89e-12  7.14e-12  8.29e-12  1.03e-11
     61    12     6   2.93e-12  2.98e-12  3.01e-12  3.13e-12  3.56e-12  4.22e-12  4.97e-12  5.64e-12  6.30e-12  7.01e-12  8.84e-12
